id,transaction_id,product_id,product_name,description,quantity,cost
1,TXN0001,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",3,24.99
2,TXN0002,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
3,TXN0002,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",3,14.99
4,TXN0003,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
5,TXN0004,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",1,24.99
6,TXN0004,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
7,TXN0004,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",2,49.99
8,TXN0005,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
9,TXN0006,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
10,TXN0006,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
11,TXN0006,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
12,TXN0007,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
13,TXN0007,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
14,TXN0007,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
15,TXN0008,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
16,TXN0009,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",3,99.99
17,TXN0009,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",2,79.99
18,TXN0009,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",2,24.99
19,TXN0010,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
20,TXN0011,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",2,14.99
21,TXN0011,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
22,TXN0012,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",3,24.99
23,TXN0013,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
24,TXN0013,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
25,TXN0014,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
26,TXN0014,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
27,TXN0014,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
28,TXN0015,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",2,79.99
29,TXN0015,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",3,49.99
30,TXN0016,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
31,TXN0016,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
32,TXN0017,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
33,TXN0017,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
34,TXN0017,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
35,TXN0018,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",2,24.99
36,TXN0018,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
37,TXN0019,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
38,TXN0020,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",3,19.99
39,TXN0020,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",2,29.99
40,TXN0020,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
41,TXN0021,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",3,34.99
42,TXN0021,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
43,TXN0022,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",2,14.99
44,TXN0022,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",2,89.99
45,TXN0023,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
46,TXN0023,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
47,TXN0023,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
48,TXN0024,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",2,34.99
49,TXN0024,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
50,TXN0025,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",2,89.99
51,TXN0025,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
52,TXN0025,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
53,TXN0026,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
54,TXN0027,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
55,TXN0027,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",2,79.99
56,TXN0027,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",1,89.99
57,TXN0028,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",2,39.99
58,TXN0028,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",1,34.99
59,TXN0029,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
60,TXN0029,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
61,TXN0030,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
62,TXN0030,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",2,14.99
63,TXN0031,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
64,TXN0031,P001,"Silk Floral Scarf","Lightweight silk scarf with a hand-painted floral print",1,24.99
65,TXN0031,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",1,49.99
66,TXN0032,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",2,19.99
67,TXN0033,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",3,49.99
68,TXN0034,P002,"Cashmere Wrap Scarf","Soft cashmere-blend wrap scarf in a heathered finish",3,49.99
69,TXN0034,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",2,39.99
70,TXN0034,P003,"Leather Touchscreen Gloves","Genuine leather gloves with touchscreen-compatible fingertips",2,34.99
71,TXN0034,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
72,TXN0035,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
73,TXN0035,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",2,89.99
74,TXN0036,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",3,79.99
75,TXN0036,P007,"Suede Chelsea Boots","Slip-on suede Chelsea boots with an elastic side panel",3,89.99
76,TXN0037,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",1,29.99
77,TXN0037,P009,"Wool Fedora Hat","Classic wool fedora with a grosgrain ribbon band",1,39.99
78,TXN0037,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
79,TXN0038,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
80,TXN0039,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
81,TXN0039,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
82,TXN0040,P004,"Wool Knit Gloves","Warm wool knit gloves with ribbed cuffs",1,19.99
83,TXN0041,P006,"Knee-High Riding Boots","Faux leather knee-high boots with a side zip",1,99.99
84,TXN0042,P005,"Classic Ankle Boots","Block-heel ankle boots in smooth faux leather",1,79.99
85,TXN0042,P008,"Wide-Brim Sun Hat","Packable wide-brim straw sun hat with a tie-back band",2,29.99
86,TXN0043,P010,"Chunky Knit Beanie","Cozy chunky knit beanie with a folded cuff",1,14.99
